Date,DataDomain,Market,RecordsChecked,CompletenessPct,DuplicationPct,ErrorRatePct,Incidents,Escalations
2023-01-01,Client,France,8860,0.917,0.049,0.02,9,2
2023-01-01,Client,Italy,13334,0.905,0.053,0.02,7,2
2023-01-01,Client,USA,9685,0.905,0.046,0.028,1,3
2023-01-01,Client,UAE,14420,0.956,0.041,0.005,8,0
2023-01-01,Client,Japan,8474,0.955,0.017,0.012,14,2
2023-01-01,Product,France,9899,0.946,0.04,0.006,2,4
2023-01-01,Product,Italy,10888,0.906,0.057,0.029,1,1
2023-01-01,Product,USA,10824,0.901,0.022,0.011,11,3
2023-01-01,Product,UAE,10556,0.975,0.019,0.015,1,3
2023-01-01,Product,Japan,11073,0.938,0.02,0.019,12,1
2023-01-01,Pricing,France,14873,0.94,0.03,0.028,14,3
2023-01-01,Pricing,Italy,9016,0.987,0.052,0.024,14,4
2023-01-01,Pricing,USA,12887,0.932,0.024,0.019,8,4
2023-01-01,Pricing,UAE,10062,0.915,0.011,0.016,0,3
2023-01-01,Pricing,Japan,10695,0.9,0.051,0.023,2,2
2023-01-01,SupplyChain,France,14432,0.955,0.056,0.021,11,0
2023-01-01,SupplyChain,Italy,13959,0.94,0.015,0.014,13,4
2023-01-01,SupplyChain,USA,14242,0.953,0.024,0.019,2,4
2023-01-01,SupplyChain,UAE,13581,0.976,0.046,0.011,13,2
2023-01-01,SupplyChain,Japan,12488,0.964,0.016,0.016,2,0
2023-01-01,Finance,France,8563,0.951,0.045,0.008,6,4
2023-01-01,Finance,Italy,9678,0.968,0.021,0.007,10,2
2023-01-01,Finance,USA,11157,0.979,0.041,0.012,4,3
2023-01-01,Finance,UAE,13147,0.92,0.031,0.027,9,3
2023-01-01,Finance,Japan,13592,0.929,0.016,0.011,13,0
2023-02-01,Client,France,10675,0.932,0.025,0.009,10,0
2023-02-01,Client,Italy,12413,0.92,0.016,0.013,14,2
2023-02-01,Client,USA,11445,0.92,0.038,0.015,13,0
2023-02-01,Client,UAE,14585,0.987,0.023,0.017,0,4
2023-02-01,Client,Japan,11696,0.99,0.023,0.029,11,4
2023-02-01,Product,France,13855,0.982,0.022,0.009,11,1
2023-02-01,Product,Italy,13791,0.95,0.04,0.007,7,2
2023-02-01,Product,USA,12496,0.966,0.028,0.021,5,2
2023-02-01,Product,UAE,11582,0.908,0.052,0.013,5,4
2023-02-01,Product,Japan,9794,0.953,0.044,0.005,2,2
2023-02-01,Pricing,France,11219,0.958,0.019,0.022,6,1
2023-02-01,Pricing,Italy,10919,0.912,0.027,0.008,6,1
2023-02-01,Pricing,USA,13730,0.921,0.019,0.03,3,3
2023-02-01,Pricing,UAE,12976,0.922,0.015,0.027,4,2
2023-02-01,Pricing,Japan,10056,0.925,0.045,0.026,3,0
2023-02-01,SupplyChain,France,11991,0.977,0.057,0.025,7,3
2023-02-01,SupplyChain,Italy,8253,0.901,0.015,0.022,12,1
2023-02-01,SupplyChain,USA,14015,0.927,0.034,0.016,12,0
2023-02-01,SupplyChain,UAE,12067,0.964,0.022,0.013,3,2
2023-02-01,SupplyChain,Japan,12496,0.928,0.037,0.018,5,4
2023-02-01,Finance,France,8562,0.98,0.042,0.025,13,0
2023-02-01,Finance,Italy,14427,0.96,0.053,0.011,2,3
2023-02-01,Finance,USA,12642,0.969,0.012,0.03,13,4
2023-02-01,Finance,UAE,9069,0.982,0.029,0.005,7,4
2023-02-01,Finance,Japan,14640,0.95,0.039,0.03,3,4
2023-03-01,Client,France,8980,0.917,0.023,0.017,1,0
2023-03-01,Client,Italy,13854,0.976,0.057,0.007,1,1
2023-03-01,Client,USA,8154,0.927,0.026,0.026,8,2
2023-03-01,Client,UAE,12341,0.932,0.025,0.025,2,1
2023-03-01,Client,Japan,13016,0.955,0.014,0.005,3,4
2023-03-01,Product,France,12115,0.958,0.045,0.025,11,2
2023-03-01,Product,Italy,14614,0.902,0.039,0.016,14,2
2023-03-01,Product,USA,11736,0.914,0.059,0.026,9,0
2023-03-01,Product,UAE,9715,0.903,0.025,0.018,4,0
2023-03-01,Product,Japan,14407,0.969,0.021,0.021,3,4
2023-03-01,Pricing,France,8991,0.948,0.037,0.021,3,4
2023-03-01,Pricing,Italy,12465,0.946,0.026,0.025,14,2
2023-03-01,Pricing,USA,11675,0.967,0.023,0.01,13,0
2023-03-01,Pricing,UAE,9931,0.937,0.019,0.009,1,0
2023-03-01,Pricing,Japan,12583,0.984,0.042,0.018,14,4
2023-03-01,SupplyChain,France,14933,0.966,0.012,0.019,2,4
2023-03-01,SupplyChain,Italy,10744,0.931,0.015,0.007,13,3
2023-03-01,SupplyChain,USA,12548,0.943,0.015,0.017,6,3
2023-03-01,SupplyChain,UAE,13408,0.942,0.042,0.006,5,4
2023-03-01,SupplyChain,Japan,10849,0.923,0.011,0.028,0,4
2023-03-01,Finance,France,12611,0.955,0.057,0.029,11,2
2023-03-01,Finance,Italy,8851,0.952,0.029,0.021,0,4
2023-03-01,Finance,USA,10738,0.974,0.041,0.026,7,1
2023-03-01,Finance,UAE,9066,0.918,0.013,0.008,1,4
2023-03-01,Finance,Japan,10546,0.956,0.027,0.021,12,1
2023-04-01,Client,France,9625,0.931,0.023,0.017,9,4
2023-04-01,Client,Italy,13745,0.957,0.054,0.023,4,4
2023-04-01,Client,USA,10808,0.949,0.031,0.019,2,0
2023-04-01,Client,UAE,9122,0.937,0.029,0.024,7,4
2023-04-01,Client,Japan,11851,0.939,0.048,0.024,8,0
2023-04-01,Product,France,11952,0.945,0.051,0.013,10,2
2023-04-01,Product,Italy,14320,0.905,0.058,0.026,8,3
2023-04-01,Product,USA,8717,0.961,0.034,0.017,4,4
2023-04-01,Product,UAE,12491,0.93,0.044,0.024,6,0
2023-04-01,Product,Japan,9062,0.908,0.035,0.006,14,1
2023-04-01,Pricing,France,9156,0.966,0.037,0.023,14,3
2023-04-01,Pricing,Italy,8953,0.956,0.015,0.007,12,1
2023-04-01,Pricing,USA,13512,0.974,0.045,0.007,4,2
2023-04-01,Pricing,UAE,11719,0.934,0.029,0.025,14,0
2023-04-01,Pricing,Japan,9324,0.968,0.029,0.007,12,3
2023-04-01,SupplyChain,France,13301,0.963,0.022,0.013,13,2
2023-04-01,SupplyChain,Italy,12268,0.901,0.033,0.006,11,4
2023-04-01,SupplyChain,USA,8894,0.958,0.047,0.02,13,0
2023-04-01,SupplyChain,UAE,9214,0.943,0.014,0.018,4,1
2023-04-01,SupplyChain,Japan,11627,0.988,0.038,0.013,5,4
2023-04-01,Finance,France,12298,0.983,0.023,0.022,8,1
2023-04-01,Finance,Italy,14190,0.957,0.045,0.016,4,2
2023-04-01,Finance,USA,10703,0.966,0.056,0.029,7,3
2023-04-01,Finance,UAE,8667,0.93,0.018,0.021,7,1
2023-04-01,Finance,Japan,8539,0.907,0.059,0.03,5,0
2023-05-01,Client,France,13320,0.928,0.051,0.022,12,4
2023-05-01,Client,Italy,9581,0.907,0.057,0.015,4,0
2023-05-01,Client,USA,14593,0.907,0.054,0.019,4,0
2023-05-01,Client,UAE,12469,0.973,0.059,0.009,4,1
2023-05-01,Client,Japan,12158,0.935,0.051,0.019,0,1
2023-05-01,Product,France,10152,0.937,0.024,0.006,5,3
2023-05-01,Product,Italy,10000,0.948,0.047,0.028,6,4
2023-05-01,Product,USA,11636,0.985,0.052,0.011,13,0
2023-05-01,Product,UAE,13997,0.923,0.024,0.01,0,0
2023-05-01,Product,Japan,12583,0.956,0.028,0.008,9,1
2023-05-01,Pricing,France,8673,0.943,0.052,0.013,0,3
2023-05-01,Pricing,Italy,8388,0.908,0.05,0.02,14,4
2023-05-01,Pricing,USA,14996,0.958,0.05,0.028,11,1
2023-05-01,Pricing,UAE,14949,0.955,0.042,0.019,2,1
2023-05-01,Pricing,Japan,9331,0.949,0.033,0.028,13,1
2023-05-01,SupplyChain,France,10128,0.985,0.017,0.028,9,0
2023-05-01,SupplyChain,Italy,11579,0.906,0.012,0.021,1,4
2023-05-01,SupplyChain,USA,14269,0.957,0.022,0.007,8,2
2023-05-01,SupplyChain,UAE,11445,0.963,0.019,0.022,8,2
2023-05-01,SupplyChain,Japan,9887,0.943,0.043,0.009,9,2
2023-05-01,Finance,France,13124,0.931,0.027,0.006,5,0
2023-05-01,Finance,Italy,14788,0.941,0.02,0.014,13,1
2023-05-01,Finance,USA,13932,0.929,0.015,0.017,5,2
2023-05-01,Finance,UAE,10878,0.934,0.01,0.027,7,0
2023-05-01,Finance,Japan,13986,0.917,0.02,0.014,5,1
2023-06-01,Client,France,12123,0.933,0.033,0.024,13,2
2023-06-01,Client,Italy,13431,0.912,0.044,0.026,10,3
2023-06-01,Client,USA,11345,0.94,0.037,0.011,8,4
2023-06-01,Client,UAE,10075,0.902,0.026,0.01,9,3
2023-06-01,Client,Japan,12632,0.98,0.04,0.022,2,0
2023-06-01,Product,France,10156,0.943,0.039,0.023,14,0
2023-06-01,Product,Italy,14891,0.911,0.024,0.014,9,1
2023-06-01,Product,USA,11514,0.932,0.059,0.02,0,4
2023-06-01,Product,UAE,10709,0.92,0.028,0.017,13,2
2023-06-01,Product,Japan,11517,0.926,0.019,0.027,6,2
2023-06-01,Pricing,France,8242,0.902,0.045,0.03,5,1
2023-06-01,Pricing,Italy,8467,0.987,0.053,0.025,0,2
2023-06-01,Pricing,USA,14717,0.984,0.038,0.019,2,4
2023-06-01,Pricing,UAE,13764,0.917,0.026,0.016,0,3
2023-06-01,Pricing,Japan,12208,0.948,0.045,0.024,5,4
2023-06-01,SupplyChain,France,9917,0.914,0.034,0.018,0,1
2023-06-01,SupplyChain,Italy,10039,0.912,0.013,0.03,12,1
2023-06-01,SupplyChain,USA,9619,0.923,0.044,0.024,10,2
2023-06-01,SupplyChain,UAE,11677,0.91,0.053,0.024,1,4
2023-06-01,SupplyChain,Japan,8375,0.989,0.02,0.014,0,3
2023-06-01,Finance,France,13951,0.97,0.051,0.024,11,2
2023-06-01,Finance,Italy,12820,0.917,0.022,0.021,13,3
2023-06-01,Finance,USA,8600,0.979,0.03,0.025,6,2
2023-06-01,Finance,UAE,14565,0.949,0.032,0.019,0,0
2023-06-01,Finance,Japan,11054,0.935,0.037,0.028,2,2
2023-07-01,Client,France,8197,0.985,0.041,0.013,3,4
2023-07-01,Client,Italy,13408,0.948,0.055,0.025,5,0
2023-07-01,Client,USA,9120,0.964,0.049,0.009,3,1
2023-07-01,Client,UAE,12612,0.979,0.027,0.026,14,3
2023-07-01,Client,Japan,13996,0.911,0.03,0.025,4,4
2023-07-01,Product,France,14190,0.937,0.049,0.005,2,2
2023-07-01,Product,Italy,9955,0.949,0.023,0.014,10,1
2023-07-01,Product,USA,10919,0.953,0.03,0.017,13,2
2023-07-01,Product,UAE,10443,0.982,0.017,0.008,0,3
2023-07-01,Product,Japan,10730,0.984,0.038,0.022,7,4
2023-07-01,Pricing,France,13959,0.959,0.049,0.014,8,2
2023-07-01,Pricing,Italy,11533,0.984,0.056,0.016,13,4
2023-07-01,Pricing,USA,11476,0.915,0.019,0.026,0,2
2023-07-01,Pricing,UAE,13031,0.955,0.029,0.024,9,3
2023-07-01,Pricing,Japan,14456,0.9,0.027,0.015,8,1
2023-07-01,SupplyChain,France,10122,0.983,0.033,0.017,10,0
2023-07-01,SupplyChain,Italy,14783,0.92,0.033,0.009,7,0
2023-07-01,SupplyChain,USA,9990,0.915,0.012,0.013,12,2
2023-07-01,SupplyChain,UAE,12757,0.92,0.021,0.018,0,3
2023-07-01,SupplyChain,Japan,11432,0.913,0.031,0.007,12,0
2023-07-01,Finance,France,12422,0.954,0.013,0.024,10,2
2023-07-01,Finance,Italy,11389,0.918,0.02,0.006,13,2
2023-07-01,Finance,USA,10065,0.926,0.046,0.018,5,3
2023-07-01,Finance,UAE,13232,0.936,0.038,0.009,0,4
2023-07-01,Finance,Japan,12150,0.985,0.029,0.012,13,1
2023-08-01,Client,France,11451,0.972,0.059,0.026,6,4
2023-08-01,Client,Italy,11079,0.902,0.021,0.011,10,4
2023-08-01,Client,USA,8327,0.909,0.05,0.009,0,3
2023-08-01,Client,UAE,11054,0.965,0.05,0.03,7,2
2023-08-01,Client,Japan,11983,0.936,0.043,0.01,14,1
2023-08-01,Product,France,14150,0.957,0.047,0.026,12,2
2023-08-01,Product,Italy,13667,0.958,0.045,0.028,4,3
2023-08-01,Product,USA,11594,0.923,0.029,0.02,11,3
2023-08-01,Product,UAE,14404,0.931,0.049,0.014,4,3
2023-08-01,Product,Japan,13986,0.985,0.048,0.009,9,2
2023-08-01,Pricing,France,12223,0.916,0.034,0.018,8,1
2023-08-01,Pricing,Italy,8236,0.936,0.021,0.021,13,3
2023-08-01,Pricing,USA,14809,0.947,0.019,0.012,10,1
2023-08-01,Pricing,UAE,10175,0.911,0.039,0.012,0,4
2023-08-01,Pricing,Japan,13497,0.965,0.015,0.009,10,0
2023-08-01,SupplyChain,France,8645,0.966,0.023,0.021,4,1
2023-08-01,SupplyChain,Italy,9708,0.975,0.03,0.024,13,1
2023-08-01,SupplyChain,USA,11067,0.986,0.019,0.007,2,1
2023-08-01,SupplyChain,UAE,12124,0.935,0.024,0.014,0,2
2023-08-01,SupplyChain,Japan,10854,0.955,0.057,0.015,7,4
2023-08-01,Finance,France,13408,0.924,0.037,0.009,3,2
2023-08-01,Finance,Italy,11920,0.945,0.04,0.013,9,1
2023-08-01,Finance,USA,9524,0.931,0.028,0.015,12,2
2023-08-01,Finance,UAE,9639,0.939,0.022,0.025,4,3
2023-08-01,Finance,Japan,8171,0.987,0.01,0.008,4,3
2023-09-01,Client,France,12090,0.987,0.05,0.022,0,3
2023-09-01,Client,Italy,9341,0.986,0.048,0.021,0,4
2023-09-01,Client,USA,10421,0.957,0.059,0.028,11,2
2023-09-01,Client,UAE,11993,0.905,0.043,0.006,6,0
2023-09-01,Client,Japan,11990,0.95,0.034,0.013,14,4
2023-09-01,Product,France,12232,0.917,0.016,0.016,12,1
2023-09-01,Product,Italy,11294,0.978,0.052,0.013,9,0
2023-09-01,Product,USA,9182,0.933,0.038,0.017,2,4
2023-09-01,Product,UAE,13290,0.931,0.046,0.007,14,0
2023-09-01,Product,Japan,11587,0.971,0.026,0.021,12,1
2023-09-01,Pricing,France,9131,0.921,0.011,0.027,13,2
2023-09-01,Pricing,Italy,12854,0.917,0.029,0.028,10,3
2023-09-01,Pricing,USA,12124,0.969,0.03,0.017,8,3
2023-09-01,Pricing,UAE,9262,0.936,0.015,0.013,3,4
2023-09-01,Pricing,Japan,10624,0.921,0.016,0.014,13,1
2023-09-01,SupplyChain,France,14467,0.964,0.039,0.012,4,0
2023-09-01,SupplyChain,Italy,12494,0.935,0.044,0.01,9,4
2023-09-01,SupplyChain,USA,10108,0.923,0.039,0.03,14,2
2023-09-01,SupplyChain,UAE,13181,0.955,0.018,0.03,10,3
2023-09-01,SupplyChain,Japan,13429,0.955,0.036,0.011,1,0
2023-09-01,Finance,France,10265,0.903,0.058,0.026,4,4
2023-09-01,Finance,Italy,8053,0.987,0.054,0.028,9,0
2023-09-01,Finance,USA,9596,0.923,0.036,0.017,0,2
2023-09-01,Finance,UAE,12255,0.942,0.041,0.024,8,0
2023-09-01,Finance,Japan,12675,0.952,0.015,0.027,2,2
2023-10-01,Client,France,8987,0.943,0.012,0.026,9,0
2023-10-01,Client,Italy,13582,0.959,0.038,0.007,7,3
2023-10-01,Client,USA,8974,0.9,0.045,0.006,1,4
2023-10-01,Client,UAE,11387,0.91,0.055,0.03,1,4
2023-10-01,Client,Japan,14367,0.946,0.055,0.019,7,1
2023-10-01,Product,France,14183,0.951,0.023,0.027,2,3
2023-10-01,Product,Italy,14496,0.914,0.018,0.013,12,0
2023-10-01,Product,USA,9716,0.961,0.041,0.024,6,4
2023-10-01,Product,UAE,8556,0.978,0.011,0.026,9,2
2023-10-01,Product,Japan,11508,0.967,0.018,0.025,13,4
2023-10-01,Pricing,France,10012,0.923,0.02,0.007,10,0
2023-10-01,Pricing,Italy,13352,0.957,0.023,0.021,7,4
2023-10-01,Pricing,USA,12770,0.912,0.024,0.005,8,1
2023-10-01,Pricing,UAE,11902,0.935,0.019,0.024,5,3
2023-10-01,Pricing,Japan,9887,0.969,0.057,0.009,11,0
2023-10-01,SupplyChain,France,8885,0.931,0.041,0.006,1,4
2023-10-01,SupplyChain,Italy,12811,0.967,0.017,0.024,6,4
2023-10-01,SupplyChain,USA,8906,0.974,0.029,0.025,10,1
2023-10-01,SupplyChain,UAE,14102,0.94,0.024,0.03,0,2
2023-10-01,SupplyChain,Japan,14540,0.977,0.036,0.026,10,3
2023-10-01,Finance,France,9823,0.907,0.044,0.021,10,2
2023-10-01,Finance,Italy,10896,0.987,0.012,0.023,14,4
2023-10-01,Finance,USA,12026,0.987,0.048,0.016,10,0
2023-10-01,Finance,UAE,12665,0.98,0.021,0.01,0,0
2023-10-01,Finance,Japan,8791,0.933,0.053,0.017,7,3
2023-11-01,Client,France,14573,0.918,0.015,0.009,10,1
2023-11-01,Client,Italy,14131,0.902,0.05,0.012,7,3
2023-11-01,Client,USA,12473,0.955,0.05,0.017,13,0
2023-11-01,Client,UAE,11965,0.962,0.032,0.01,8,3
2023-11-01,Client,Japan,14869,0.952,0.023,0.025,10,4
2023-11-01,Product,France,10768,0.901,0.014,0.015,13,2
2023-11-01,Product,Italy,13420,0.968,0.058,0.028,10,2
2023-11-01,Product,USA,13207,0.913,0.015,0.019,14,3
2023-11-01,Product,UAE,10720,0.95,0.01,0.013,1,0
2023-11-01,Product,Japan,10848,0.979,0.014,0.026,9,1
2023-11-01,Pricing,France,8089,0.962,0.05,0.01,6,3
2023-11-01,Pricing,Italy,13424,0.986,0.016,0.027,8,0
2023-11-01,Pricing,USA,10270,0.949,0.045,0.027,1,3
2023-11-01,Pricing,UAE,11389,0.971,0.041,0.017,10,3
2023-11-01,Pricing,Japan,8207,0.949,0.051,0.016,2,0
2023-11-01,SupplyChain,France,12969,0.939,0.046,0.02,11,4
2023-11-01,SupplyChain,Italy,9560,0.978,0.021,0.029,3,4
2023-11-01,SupplyChain,USA,9927,0.978,0.032,0.006,11,1
2023-11-01,SupplyChain,UAE,9989,0.965,0.021,0.03,8,2
2023-11-01,SupplyChain,Japan,10971,0.918,0.044,0.007,14,0
2023-11-01,Finance,France,8902,0.942,0.053,0.023,12,3
2023-11-01,Finance,Italy,14948,0.931,0.029,0.03,7,1
2023-11-01,Finance,USA,9712,0.946,0.039,0.006,1,3
2023-11-01,Finance,UAE,10625,0.954,0.05,0.021,2,2
2023-11-01,Finance,Japan,12281,0.982,0.021,0.021,7,4
2023-12-01,Client,France,10958,0.921,0.049,0.015,13,1
2023-12-01,Client,Italy,8939,0.934,0.036,0.015,5,4
2023-12-01,Client,USA,12648,0.922,0.054,0.016,7,0
2023-12-01,Client,UAE,11155,0.953,0.018,0.015,8,3
2023-12-01,Client,Japan,10113,0.977,0.01,0.02,11,3
2023-12-01,Product,France,12396,0.921,0.022,0.027,5,1
2023-12-01,Product,Italy,13724,0.93,0.051,0.016,3,2
2023-12-01,Product,USA,14656,0.923,0.028,0.014,10,4
2023-12-01,Product,UAE,10734,0.96,0.034,0.026,11,3
2023-12-01,Product,Japan,9390,0.978,0.02,0.008,1,1
2023-12-01,Pricing,France,8968,0.948,0.057,0.006,6,2
2023-12-01,Pricing,Italy,12293,0.916,0.014,0.008,2,3
2023-12-01,Pricing,USA,12585,0.936,0.034,0.022,13,1
2023-12-01,Pricing,UAE,12312,0.958,0.053,0.016,14,2
2023-12-01,Pricing,Japan,11249,0.931,0.037,0.008,13,4
2023-12-01,SupplyChain,France,12403,0.963,0.02,0.022,1,4
2023-12-01,SupplyChain,Italy,8128,0.966,0.018,0.011,14,1
2023-12-01,SupplyChain,USA,14454,0.988,0.029,0.005,1,0
2023-12-01,SupplyChain,UAE,11719,0.978,0.048,0.008,8,3
2023-12-01,SupplyChain,Japan,14944,0.954,0.057,0.026,4,0
2023-12-01,Finance,France,11673,0.931,0.018,0.02,14,0
2023-12-01,Finance,Italy,11232,0.937,0.054,0.025,12,0
2023-12-01,Finance,USA,9347,0.959,0.048,0.028,2,1
